date,CPI,GDP,I_R,NFP,PCE,PPI,price
2019-10-01,0.017,0.019,0.0175,136000.0,0.014,0.014,1512.54
2019-11-01,0.018,0.021,0.0175,128000.0,0.013,0.011,1463.91
2019-12-01,0.021,0.021,0.0175,266000.0,0.014,0.011,1516.92
2020-01-01,0.023,0.021,0.0175,145000.0,0.014,0.013,1588.79
2020-02-01,0.025,0.021,0.0175,225000.0,0.015,0.021,1585.96
2020-03-01,0.023,0.021,0.0025,273000.0,0.018,0.013,1576.2
2020-04-01,0.015,-0.048,0.0025,-701000.0,0.018,0.007,1686.78
2020-05-01,0.003,-0.05,0.0025,-20537000.0,0.013,-0.012,1728.9
2020-06-01,0.001,-0.05,0.0025,2509000.0,0.006,-0.008,1780.34
2020-07-01,0.006,-0.329,0.0025,4800000.0,0.005,-0.008,1975.18
2020-08-01,0.01,-0.317,0.0025,1763000.0,0.009,-0.004,1967.52
2020-09-01,0.013,-0.314,0.0025,1371000.0,0.009,-0.002,1885.42
2020-10-01,0.014,0.331,0.0025,661000.0,0.013,0.004,1878.88
2020-11-01,0.012,0.331,0.0025,638000.0,0.014,0.005,1776.72
2020-12-01,0.012,0.334,0.0025,245000.0,0.012,0.008,1898.28
2021-01-01,0.014,0.04,0.0025,-140000.0,0.011,0.008,1848.1
2021-02-01,0.014,0.041,0.0025,49000.0,0.013,0.017,1734.44
2021-03-01,0.017,0.043,0.0025,379000.0,0.014,0.028,1707.38
2021-04-01,0.026,0.064,0.0025,916000.0,0.015,0.042,1768.6
2021-05-01,0.042,0.064,0.0025,266000.0,0.024,0.062,1905.76
2021-06-01,0.05,0.064,0.0025,559000.0,0.036,0.066,1770.37
2021-07-01,0.054,0.065,0.0025,850000.0,0.04,0.073,1813.83
2021-08-01,0.054,0.066,0.0025,943000.0,0.04,0.078,1813.73
2021-09-01,0.053,0.067,0.0025,235000.0,0.04,0.083,1757.0
2021-10-01,0.054,0.02,0.0025,194000.0,0.042,0.086,1783.17
2021-11-01,0.062,0.021,0.0025,531000.0,0.044,0.086,1774.81
2021-12-01,0.068,0.023,0.0025,210000.0,0.051,0.096,1829.22
2022-01-01,0.07,0.069,0.0025,199000.0,0.057,0.097,1797.29
2022-02-01,0.075,0.07,0.0025,467000.0,0.058,0.097,1908.86
2022-03-01,0.079,0.069,0.005,678000.0,0.06,0.1,1937.12
2022-04-01,0.085,-0.014,0.005,431000.0,0.063,0.112,1896.95
2022-05-01,0.083,-0.015,0.01,428000.0,0.066,0.11,1837.4
2022-06-01,0.086,-0.016,0.0175,390000.0,0.063,0.108,1807.18
2022-07-01,0.091,-0.009,0.025,372000.0,0.068,0.113,1766.02
2022-08-01,0.085,-0.006,0.025,528000.0,0.063,0.098,1711.06
2022-09-01,0.083,-0.006,0.0325,315000.0,0.062,0.087,1660.88
2022-10-01,0.082,0.026,0.0325,263000.0,0.062,0.085,1633.57
2022-11-01,0.077,0.029,0.04,261000.0,0.062,0.08,1768.45
2022-12-01,0.071,0.032,0.045,263000.0,0.055,0.074,1823.84
2023-01-01,0.065,0.029,0.045,223000.0,0.05,0.062,1928.1
2023-02-01,0.064,0.027,0.0475,517000.0,0.054,0.06,1826.68
2023-03-01,0.06,0.026,0.05,311000.0,0.05,0.046,1970.78
2023-04-01,0.05,0.011,0.05,236000.0,0.042,0.027,1989.62
2023-05-01,0.049,0.013,0.0525,253000.0,0.044,0.023,1962.59
2023-06-01,0.04,0.02,0.0525,339000.0,0.038,0.011,1919.52
2023-07-01,0.03,0.024,0.055,209000.0,0.03,0.001,1965.41
2023-08-01,0.032,0.021,0.055,187000.0,0.033,0.008,1940.04
2023-09-01,0.037,0.021,0.055,187000.0,0.035,0.016,1848.57
2023-10-01,0.037,0.049,0.055,336000.0,0.034,0.022,1983.95
2023-11-01,0.032,0.052,0.055,150000.0,0.03,0.013,2036.06
2023-12-01,0.031,0.049,0.055,199000.0,0.026,0.009,2062.82
2024-01-01,0.034,0.033,0.055,216000.0,0.026,0.01,2039.19
2024-02-01,0.031,0.032,0.055,353000.0,0.024,0.009,2044.12
2024-03-01,0.032,0.034,0.055,275000.0,0.025,0.016,2232.78
2024-04-01,0.035,0.016,0.055,303000.0,0.027,0.021,2286.3
2024-05-01,0.034,0.013,0.055,175000.0,0.027,0.022,2327.34
2024-06-01,0.033,0.014,0.055,272000.0,0.026,0.022,2326.34
2024-07-01,0.03,0.028,0.055,206000.0,0.025,0.026,2447.24
2024-08-01,0.029,0.03,0.055,114000.0,0.025,0.022,2502.98
2024-09-01,0.025,0.03,0.05,142000.0,0.022,0.017,2634.66
2024-10-01,0.024,0.028,0.05,254000.0,0.021,0.018,2743.89
2024-11-01,0.026,0.028,0.0475,12000.0,0.023,0.024,2650.4
2024-12-01,0.027,0.031,0.045,227000.0,0.024,0.03,2624.43
2025-01-01,0.029,0.023,0.045,256000.0,0.026,0.033,2798.68
2025-02-01,0.03,0.023,0.045,143000.0,0.025,0.035,2857.15
2025-03-01,0.028,0.024,0.045,151000.0,0.025,0.032,3124.06
2025-04-01,0.024,-0.003,0.045,228000.0,0.023,0.027,3288.37
2025-05-01,0.023,-0.003,0.045,177000.0,0.023,0.027,3289.34`
2025-06-01,0.023,-0.003,0.045,177000.0,0.023,0.027,3302.96
2025-07-01,0.023,-0.003,0.045,177000.0,0.023,0.027,3349.91
