Release Date,date,Time,month_tag,Actual,Forecast,Previous
"May 30, 2025 (Apr)",5/30/2025,15:30:00,Apr,,,0.023
"Apr 30, 2025 (Mar)",4/30/2025,17:00:00,Mar,0.023,0.022,0.027
"Mar 28, 2025 (Feb)",3/28/2025,15:30:00,Feb,0.025,0.025,0.025
"Feb 28, 2025 (Jan)",2/28/2025,16:30:00,Jan,0.025,0.025,0.026
"Jan 31, 2025 (Dec)",1/31/2025,16:30:00,Dec,0.026,0.026,0.024
"Dec 20, 2024 (Nov)",12/20/2024,16:30:00,Nov,0.024,0.025,0.023
"Nov 27, 2024 (Oct)",11/27/2024,18:00:00,Oct,0.023,0.023,0.021
"Oct 31, 2024 (Sep)",10/31/2024,15:30:00,Sep,0.021,0.021,0.023
"Sep 27, 2024 (Aug)",9/27/2024,15:30:00,Aug,0.022,0.023,0.025
"Aug 30, 2024 (Jul)",8/30/2024,15:30:00,Jul,0.025,0.026,0.025
"Jul 26, 2024 (Jun)",7/26/2024,15:30:00,Jun,0.025,0.025,0.026
"Jun 28, 2024 (May)",6/28/2024,15:30:00,May,0.026,0.026,0.027
"May 31, 2024 (Apr)",5/31/2024,15:30:00,Apr,0.027,0.027,0.027
"Apr 26, 2024 (Mar)",4/26/2024,15:30:00,Mar,0.027,0.026,0.025
"Mar 29, 2024 (Feb)",3/29/2024,15:30:00,Feb,0.025,0.025,0.024
"Feb 29, 2024 (Jan)",2/29/2024,16:30:00,Jan,0.024,0.024,0.026
"Jan 26, 2024 (Dec)",1/26/2024,16:30:00,Dec,0.026,0.026,0.026
"Dec 22, 2023 (Nov)",12/22/2023,16:30:00,Nov,0.026,0.028,0.029
"Nov 30, 2023 (Oct)",11/30/2023,16:30:00,Oct,0.03,0.03,0.034
"Oct 27, 2023 (Sep)",10/27/2023,15:30:00,Sep,0.034,0.034,0.034
"Sep 29, 2023 (Aug)",9/29/2023,15:30:00,Aug,0.035,0.035,0.034
"Aug 31, 2023 (Jul)",8/31/2023,15:30:00,Jul,0.033,0.033,0.03
"Jul 28, 2023 (Jun)",7/28/2023,15:30:00,Jun,0.03,0.031,0.038
"Jun 30, 2023 (May)",6/30/2023,15:30:00,May,0.038,0.046,0.043
"May 26, 2023 (Apr)",5/26/2023,15:30:00,Apr,0.044,0.039,0.042
"Apr 28, 2023 (Mar)",4/28/2023,15:30:00,Mar,0.042,,0.051
"Mar 31, 2023 (Feb)",3/31/2023,15:30:00,Feb,0.05,0.051,0.053
"Feb 24, 2023 (Jan)",2/24/2023,16:30:00,Jan,0.054,0.05,0.053
"Jan 27, 2023 (Dec)",1/27/2023,16:30:00,Dec,0.05,0.055,0.055
"Dec 23, 2022 (Nov)",12/23/2022,16:30:00,Nov,0.055,,0.061
"Dec 01, 2022 (Oct)",12/1/2022,16:30:00,Oct,0.06,0.06,0.063
"Oct 28, 2022 (Sep)",10/28/2022,15:30:00,Sep,0.062,,0.062
"Sep 30, 2022 (Aug)",9/30/2022,15:30:00,Aug,0.062,,0.064
"Aug 26, 2022 (Jul)",8/26/2022,15:30:00,Jul,0.063,,0.068
"Jul 29, 2022 (Jun)",7/29/2022,15:30:00,Jun,0.068,0.068,0.063
"Jun 30, 2022 (May)",6/30/2022,15:30:00,May,0.063,,0.063
"May 27, 2022 (Apr)",5/27/2022,15:30:00,Apr,0.066,,0.066
"Apr 29, 2022 (Mar)",4/29/2022,15:30:00,Mar,0.063,,0.063
"Mar 31, 2022 (Feb)",3/31/2022,15:30:00,Feb,0.06,,0.06
"Feb 25, 2022 (Jan)",2/25/2022,16:30:00,Jan,0.058,,0.058
"Jan 28, 2022 (Dec)",1/28/2022,16:30:00,Dec,0.057,,0.057
"Dec 23, 2021 (Nov)",12/23/2021,16:30:00,Nov,0.051,,0.051
"Nov 24, 2021 (Oct)",11/24/2021,18:00:00,Oct,0.044,,0.044
"Oct 29, 2021 (Sep)",10/29/2021,15:30:00,Sep,0.042,,0.042
"Oct 01, 2021 (Aug)",10/1/2021,15:30:00,Aug,0.042,,0.042
"Aug 27, 2021 (Jul)",8/27/2021,15:30:00,Jul,0.04,,0.04
"Jul 30, 2021 (Jun)",7/30/2021,15:30:00,Jun,0.04,,0.04
"Jun 25, 2021 (May)",6/25/2021,15:30:00,May,0.036,,0.036
"May 28, 2021 (Apr)",5/28/2021,15:30:00,Apr,0.024,,0.024
"Apr 30, 2021 (Mar)",4/30/2021,15:30:00,Mar,0.015,,0.015
"Mar 26, 2021 (Feb)",3/26/2021,16:30:00,Feb,0.014,,0.014
"Feb 26, 2021 (Jan)",2/26/2021,16:30:00,Jan,0.013,,0.013
"Jan 29, 2021 (Dec)",1/29/2021,16:30:00,Dec,0.011,,0.011
"Dec 23, 2020 (Nov)",12/23/2020,16:30:00,Nov,0.012,,0.012
"Nov 25, 2020 (Oct)",11/25/2020,18:00:00,Oct,0.014,,0.014
"Oct 30, 2020 (Sep)",10/30/2020,15:30:00,Sep,0.013,,0.013
"Oct 01, 2020 (Aug)",10/1/2020,15:30:00,Aug,0.011,,0.011
"Aug 28, 2020 (Jul)",8/28/2020,15:30:00,Jul,0.009,,0.009
"Jul 31, 2020 (Jun)",7/31/2020,15:30:00,Jun,0.005,,0.005
"Jun 26, 2020 (May)",6/26/2020,15:30:00,May,0.006,,0.006
"May 29, 2020 (Apr)",5/29/2020,15:30:00,Apr,0.013,,0.013
"Apr 30, 2020 (Mar)",4/30/2020,15:30:00,Mar,0.018,,0.018
"Mar 27, 2020 (Feb)",3/27/2020,15:30:00,Feb,0.018,,0.018
"Feb 28, 2020 (Jan)",2/28/2020,16:30:00,Jan,0.015,,0.015
"Jan 31, 2020 (Dec)",1/31/2020,16:30:00,Dec,0.014,,0.014
"Dec 20, 2019 (Nov)",12/20/2019,18:00:00,Nov,0.014,,0.014
"Nov 27, 2019 (Oct)",11/27/2019,18:00:00,Oct,0.013,0.012,0.013
"Oct 31, 2019 (Sep)",10/31/2019,15:30:00,Sep,0.014,,0.014
"Sep 27, 2019 (Aug)",9/27/2019,15:30:00,Aug,0.014,,0.014
8/30/2019 0:00,8/30/2019,15:30:00,,0.014,,0.014
