Release Date,date,Time,Actual,Forecast,Previous
"Jun 06, 2025 (May)",6/6/2025,15:30,,0.04,0.04
"May 02, 2025 (Apr)",5/2/2025,15:30,0.04,0.04,0.04
"Apr 04, 2025 (Mar)",4/4/2025,15:30,0.04,0.04,0.04
"Mar 07, 2025 (Feb)",3/7/2025,16:30,0.04,0.04,0.04
"Feb 07, 2025 (Jan)",2/7/2025,16:30,0.04,0.04,0.04
"Jan 10, 2025 (Dec)",1/10/2025,16:30,0.04,0.04,0.04
"Dec 06, 2024 (Nov)",12/6/2024,16:30,0.04,0.04,0.04
"Nov 01, 2024 (Oct)",11/1/2024,15:30,0.04,0.04,0.04
"Oct 04, 2024 (Sep)",10/4/2024,15:30,0.04,0.04,0.04
"Sep 06, 2024 (Aug)",9/6/2024,15:30,0.04,0.04,0.04
"Aug 02, 2024 (Jul)",8/2/2024,15:30,0.04,0.04,0.04
"Jul 05, 2024 (Jun)",7/5/2024,15:30,0.04,0.04,0.04
"Jun 07, 2024 (May)",6/7/2024,15:30,0.04,0.04,0.04
"May 03, 2024 (Apr)",5/3/2024,15:30,0.04,0.04,0.04
"Apr 05, 2024 (Mar)",4/5/2024,15:30,0.04,0.04,0.04
"Mar 08, 2024 (Feb)",3/8/2024,16:30,0.04,0.04,0.04
"Feb 02, 2024 (Jan)",2/2/2024,16:30,0.04,0.04,0.04
"Jan 05, 2024 (Dec)",1/5/2024,16:30,0.04,0.04,0.04
"Dec 08, 2023 (Nov)",12/8/2023,16:30,0.04,0.04,0.04
"Nov 03, 2023 (Oct)",11/3/2023,15:30,0.04,0.04,0.04
"Oct 06, 2023 (Sep)",10/6/2023,15:30,0.04,0.04,0.04
"Sep 01, 2023 (Aug)",9/1/2023,15:30,0.04,0.04,0.04
"Aug 04, 2023 (Jul)",8/4/2023,15:30,0.04,0.04,0.04
"Jul 07, 2023 (Jun)",7/7/2023,15:30,0.04,0.04,0.04
"Jun 02, 2023 (May)",6/2/2023,15:30,0.04,0.04,0.03
"May 05, 2023 (Apr)",5/5/2023,15:30,0.03,0.04,0.04
"Apr 07, 2023 (Mar)",4/7/2023,15:30,0.04,0.04,0.04
"Mar 10, 2023 (Feb)",3/10/2023,16:30,0.04,0.03,0.03
"Feb 03, 2023 (Jan)",2/3/2023,16:30,0.03,0.04,0.04
"Jan 06, 2023 (Dec)",1/6/2023,16:30,0.04,0.04,0.04
"Dec 02, 2022 (Nov)",12/2/2022,15:30,0.04,0.04,0.04
"Nov 04, 2022 (Oct)",11/4/2022,15:30,0.04,0.04,0.04
"Oct 07, 2022 (Sep)",10/7/2022,15:30,0.04,0.04,0.04
"Sep 02, 2022 (Aug)",9/2/2022,15:30,0.04,0.04,0.04
"Aug 05, 2022 (Jul)",8/5/2022,15:30,0.04,0.04,0.04
"Jul 08, 2022 (Jun)",7/8/2022,15:30,0.04,0.04,0.04
"Jun 03, 2022 (May)",6/3/2022,15:30,0.04,0.04,0.04
"May 06, 2022 (Apr)",5/6/2022,15:30,0.04,0.04,0.04
"Apr 01, 2022 (Mar)",4/1/2022,15:30,0.04,0.04,0.04
"Mar 04, 2022 (Feb)",3/4/2022,16:30,0.04,0.04,0.04
"Feb 04, 2022 (Jan)",2/4/2022,16:30,0.04,0.04,0.04
"Jan 07, 2022 (Dec)",1/7/2022,16:30,0.04,0.04,0.04
"Dec 03, 2021 (Nov)",12/3/2021,16:30,0.04,0.05,0.05
"Nov 05, 2021 (Oct)",11/5/2021,15:30,0.05,0.05,0.05
"Oct 08, 2021 (Sep)",10/8/2021,15:30,0.05,0.05,0.05
"Sep 03, 2021 (Aug)",9/3/2021,15:30,0.05,0.05,0.05
"Aug 06, 2021 (Jul)",8/6/2021,15:30,0.05,0.06,0.06
"Jul 02, 2021 (Jun)",7/2/2021,15:30,0.06,0.06,0.06
"Jun 04, 2021 (May)",6/4/2021,15:30,0.06,0.06,0.06
"May 07, 2021 (Apr)",5/7/2021,15:30,0.06,0.06,0.06
"Apr 02, 2021 (Mar)",4/2/2021,15:30,0.06,0.06,0.06
"Mar 05, 2021 (Feb)",3/5/2021,16:30,0.06,0.06,0.06
"Feb 05, 2021 (Jan)",2/5/2021,16:30,0.06,0.07,0.07
"Jan 08, 2021 (Dec)",1/8/2021,16:30,0.07,0.07,0.07
"Dec 04, 2020 (Nov)",12/4/2020,16:30,0.07,0.07,0.07
"Nov 06, 2020 (Oct)",11/6/2020,16:30,0.07,0.08,0.08
"Oct 02, 2020 (Sep)",10/2/2020,15:30,0.08,0.08,0.08
"Sep 04, 2020 (Aug)",9/4/2020,15:30,0.08,0.10,0.10
"Aug 07, 2020 (Jul)",8/7/2020,15:30,0.10,0.11,0.11
"Jul 02, 2020 (Jun)",7/2/2020,15:30,0.11,0.12,0.13
"Jun 05, 2020 (May)",6/5/2020,15:30,0.13,0.20,0.15
"May 08, 2020 (Apr)",5/8/2020,15:30,0.15,0.16,0.04
"Apr 03, 2020 (Mar)",4/3/2020,15:30,0.04,0.04,0.04
"Mar 06, 2020 (Feb)",3/6/2020,16:30,0.04,0.04,0.04
"Feb 07, 2020 (Jan)",2/7/2020,16:30,0.04,0.04,0.04
"Jan 10, 2020 (Dec)",1/10/2020,16:30,0.04,0.04,0.04
"Dec 06, 2019 (Nov)",12/6/2019,16:30,0.04,0.04,0.04
"Nov 01, 2019 (Oct)",11/1/2019,15:30,0.04,0.04,0.04
"Oct 04, 2019 (Sep)",10/4/2019,15:30,0.04,0.04,0.04
"Sep 06, 2019 (Aug)",9/6/2019,15:30,0.04,0.04,0.04
"Aug 02, 2019 (Jul)",8/2/2019,15:30,0.04,0.04,0.04
"Jul 05, 2019 (Jun)",7/5/2019,15:30,0.04,0.04,0.04
"Jun 07, 2019 (May)",6/7/2019,15:30,0.04,0.04,0.04
"May 03, 2019 (Apr)",5/3/2019,15:30,0.04,0.04,0.04
"Apr 05, 2019 (Mar)",4/5/2019,15:30,0.04,0.04,0.04
"Mar 08, 2019 (Feb)",3/8/2019,16:30,0.04,0.04,0.04
"Feb 01, 2019 (Jan)",2/1/2019,16:30,0.04,0.04,0.04
"Jan 04, 2019 (Dec)",1/4/2019,16:30,0.04,0.04,0.04
"Dec 07, 2018 (Nov)",12/7/2018,16:30,0.04,0.04,0.04
"Nov 02, 2018 (Oct)",11/2/2018,15:30,0.04,0.04,0.04
"Oct 05, 2018 (Sep)",10/5/2018,15:30,0.04,0.04,0.04
"Sep 07, 2018 (Aug)",9/7/2018,15:30,0.04,0.04,0.04
"Aug 03, 2018 (Jul)",8/3/2018,15:30,0.04,0.04,0.04
"Jul 06, 2018 (Jun)",7/6/2018,15:30,0.04,0.04,0.04
"Jun 01, 2018 (May)",6/1/2018,15:30,0.04,0.04,0.04
"May 04, 2018 (Apr)",5/4/2018,15:30,0.04,0.04,0.04
"Apr 06, 2018 (Mar)",4/6/2018,15:30,0.04,0.04,0.04
"Mar 09, 2018 (Feb)",3/9/2018,16:30,0.04,0.04,0.04
"Feb 02, 2018 (Jan)",2/2/2018,16:30,0.04,0.04,0.04
"Jan 05, 2018 (Dec)",1/5/2018,16:30,0.04,0.04,0.04
